{'pressure': 956.66, 'pressure_unit': 'hPa', 'temperature': 31.83, 'temperature_unit': '°C', 'humidity': 27.61, 'humidity_unit': '%', 'lux': 27, 'uvs': 4, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -29, 'Y': 23, 'Z': 2067}, 'gyroscope': {'X': -10, 'Y': -1, 'Z': -4}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.55, 'pressure_unit': 'hPa', 'temperature': 31.95, 'temperature_unit': '°C', 'humidity': 27.42, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': 0.0, 'yaw': 180.01, 'acceleration': {'X': -28, 'Y': 24, 'Z': 2068}, 'gyroscope': {'X': -10, 'Y': 1, 'Z': -1}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.55, 'pressure_unit': 'hPa', 'temperature': 31.95, 'temperature_unit': '°C', 'humidity': 27.42, 'humidity_unit': '%', 'lux': 27, 'uvs': 4, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -30, 'Y': 22, 'Z': 2070}, 'gyroscope': {'X': -10, 'Y': -5, 'Z': -1}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.44, 'pressure_unit': 'hPa', 'temperature': 31.96, 'temperature_unit': '°C', 'humidity': 27.41, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.02, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -27, 'Y': 23, 'Z': 2070}, 'gyroscope': {'X': -12, 'Y': -1, 'Z': -4}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.44, 'pressure_unit': 'hPa', 'temperature': 31.96, 'temperature_unit': '°C', 'humidity': 27.41, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -26, 'Y': 23, 'Z': 2072}, 'gyroscope': {'X': -10, 'Y': -5, 'Z': -2}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.97, 'temperature_unit': '°C', 'humidity': 27.18, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': 0.01, 'yaw': 180.01, 'acceleration': {'X': -29, 'Y': 23, 'Z': 2069}, 'gyroscope': {'X': -9, 'Y': 6, 'Z': 0}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.97, 'temperature_unit': '°C', 'humidity': 27.18, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': -180.01, 'acceleration': {'X': -28, 'Y': 19, 'Z': 2066}, 'gyroscope': {'X': -10, 'Y': -1, 'Z': 1}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.97, 'temperature_unit': '°C', 'humidity': 27.18, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.02, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -30, 'Y': 21, 'Z': 2070}, 'gyroscope': {'X': -11, 'Y': -3, 'Z': -3}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.98, 'temperature_unit': '°C', 'humidity': 27.36, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.02, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -29, 'Y': 20, 'Z': 2069}, 'gyroscope': {'X': -11, 'Y': 0, 'Z': -5}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.98, 'temperature_unit': '°C', 'humidity': 27.36, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -28, 'Y': 25, 'Z': 2065}, 'gyroscope': {'X': -10, 'Y': -2, 'Z': -5}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.94, 'temperature_unit': '°C', 'humidity': 27.27, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': -180.01, 'acceleration': {'X': -30, 'Y': 21, 'Z': 2066}, 'gyroscope': {'X': -9, 'Y': -2, 'Z': 0}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.94, 'temperature_unit': '°C', 'humidity': 27.27, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -28, 'Y': 21, 'Z': 2067}, 'gyroscope': {'X': -9, 'Y': -1, 'Z': -1}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.94, 'temperature_unit': '°C', 'humidity': 27.66, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': -180.01, 'acceleration': {'X': -29, 'Y': 25, 'Z': 2068}, 'gyroscope': {'X': -8, 'Y': -1, 'Z': 1}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.94, 'temperature_unit': '°C', 'humidity': 27.66, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -28, 'Y': 23, 'Z': 2068}, 'gyroscope': {'X': -10, 'Y': -4, 'Z': -1}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.95, 'temperature_unit': '°C', 'humidity': 27.4, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -27, 'Y': 25, 'Z': 2073}, 'gyroscope': {'X': -10, 'Y': -5, 'Z': -4}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.95, 'temperature_unit': '°C', 'humidity': 27.4, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -27, 'Y': 20, 'Z': 2066}, 'gyroscope': {'X': -10, 'Y': -2, 'Z': -5}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.98, 'temperature_unit': '°C', 'humidity': 27.57, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -27, 'Y': 24, 'Z': 2073}, 'gyroscope': {'X': -10, 'Y': -1, 'Z': -5}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.98, 'temperature_unit': '°C', 'humidity': 27.57, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -29, 'Y': 22, 'Z': 2069}, 'gyroscope': {'X': -10, 'Y': -5, 'Z': -4}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.44, 'pressure_unit': 'hPa', 'temperature': 31.99, 'temperature_unit': '°C', 'humidity': 27.48, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': -180.01, 'acceleration': {'X': -29, 'Y': 23, 'Z': 2068}, 'gyroscope': {'X': -10, 'Y': -6, 'Z': 0}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.44, 'pressure_unit': 'hPa', 'temperature': 31.99, 'temperature_unit': '°C', 'humidity': 27.48, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -28, 'Y': 23, 'Z': 2068}, 'gyroscope': {'X': -9, 'Y': -5, 'Z': -2}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.44, 'pressure_unit': 'hPa', 'temperature': 31.99, 'temperature_unit': '°C', 'humidity': 27.48, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -29, 'Y': 21, 'Z': 2069}, 'gyroscope': {'X': -10, 'Y': -5, 'Z': -5}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.39, 'pressure_unit': 'hPa', 'temperature': 32.02, 'temperature_unit': '°C', 'humidity': 27.31, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -30, 'Y': 21, 'Z': 2066}, 'gyroscope': {'X': -10, 'Y': -3, 'Z': -4}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.39, 'pressure_unit': 'hPa', 'temperature': 32.02, 'temperature_unit': '°C', 'humidity': 27.31, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -27, 'Y': 21, 'Z': 2067}, 'gyroscope': {'X': -10, 'Y': -5, 'Z': -4}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.42, 'pressure_unit': 'hPa', 'temperature': 32.01, 'temperature_unit': '°C', 'humidity': 27.14, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -27, 'Y': 20, 'Z': 2064}, 'gyroscope': {'X': -10, 'Y': -2, 'Z': -5}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.42, 'pressure_unit': 'hPa', 'temperature': 32.01, 'temperature_unit': '°C', 'humidity': 27.14, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.02, 'pitch': -0.0, 'yaw': -180.01, 'acceleration': {'X': -28, 'Y': 21, 'Z': 2064}, 'gyroscope': {'X': -11, 'Y': -1, 'Z': 1}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.5, 'pressure_unit': 'hPa', 'temperature': 31.95, 'temperature_unit': '°C', 'humidity': 27.42, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': 0.0, 'yaw': 180.01, 'acceleration': {'X': -28, 'Y': 21, 'Z': 2067}, 'gyroscope': {'X': -10, 'Y': 0, 'Z': 0}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.5, 'pressure_unit': 'hPa', 'temperature': 31.95, 'temperature_unit': '°C', 'humidity': 27.42, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -28, 'Y': 21, 'Z': 2064}, 'gyroscope': {'X': -10, 'Y': -7, 'Z': -1}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.42, 'pressure_unit': 'hPa', 'temperature': 31.98, 'temperature_unit': '°C', 'humidity': 27.35, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -30, 'Y': 18, 'Z': 2067}, 'gyroscope': {'X': -10, 'Y': -2, 'Z': -2}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.42, 'pressure_unit': 'hPa', 'temperature': 31.98, 'temperature_unit': '°C', 'humidity': 27.35, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': 0.0, 'yaw': 180.0, 'acceleration': {'X': -30, 'Y': 20, 'Z': 2069}, 'gyroscope': {'X': -10, 'Y': 1, 'Z': -6}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.39, 'pressure_unit': 'hPa', 'temperature': 32.01, 'temperature_unit': '°C', 'humidity': 27.53, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.02, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -28, 'Y': 21, 'Z': 2067}, 'gyroscope': {'X': -11, 'Y': -4, 'Z': -3}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.39, 'pressure_unit': 'hPa', 'temperature': 32.01, 'temperature_unit': '°C', 'humidity': 27.53, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': 0.0, 'yaw': 180.01, 'acceleration': {'X': -27, 'Y': 24, 'Z': 2070}, 'gyroscope': {'X': -9, 'Y': 1, 'Z': 0}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.39, 'pressure_unit': 'hPa', 'temperature': 32.01, 'temperature_unit': '°C', 'humidity': 27.53, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -30, 'Y': 25, 'Z': 2068}, 'gyroscope': {'X': -9, 'Y': -8, 'Z': -4}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 32.0, 'temperature_unit': '°C', 'humidity': 27.34, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -29, 'Y': 23, 'Z': 2066}, 'gyroscope': {'X': -8, 'Y': -6, 'Z': -3}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 32.0, 'temperature_unit': '°C', 'humidity': 27.34, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': -180.01, 'acceleration': {'X': -29, 'Y': 21, 'Z': 2066}, 'gyroscope': {'X': -9, 'Y': -2, 'Z': 1}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.97, 'temperature_unit': '°C', 'humidity': 27.17, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': -180.01, 'acceleration': {'X': -29, 'Y': 22, 'Z': 2067}, 'gyroscope': {'X': -10, 'Y': -2, 'Z': 0}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.97, 'temperature_unit': '°C', 'humidity': 27.17, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': -180.01, 'acceleration': {'X': -25, 'Y': 24, 'Z': 2070}, 'gyroscope': {'X': -10, 'Y': -1, 'Z': 0}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
